id_usuario,home,pesquisou_produto,visualizou_detalhes,acessou_faq,acessou_ofertas,adicionou_carrinho,finalizou_compra,codigo_compra,valor_total
USR1000156,1,1,1,0,0,1,1,CMP136273,4917.18
USR1000157,1,1,1,0,0,1,0,,
USR1000158,1,1,1,0,0,1,0,,
USR1000159,1,1,0,1,0,1,0,,
USR1000160,1,0,1,0,0,1,0,,
USR1000161,1,0,0,1,1,1,0,,
USR1000162,1,1,0,1,1,0,0,,
USR1000163,1,1,0,1,0,1,0,,
USR1000164,0,0,1,1,1,1,0,,
USR1000165,0,0,1,0,0,0,0,,
USR1000166,1,1,0,0,1,1,0,,
USR1000167,1,0,0,1,1,0,0,,
USR1000168,1,1,0,0,0,0,0,,
USR1000169,1,1,0,1,0,0,0,,
USR1000170,1,1,1,0,0,1,1,CMP106031,2488.82
USR1000171,1,1,0,0,1,0,0,,
USR1000172,1,1,1,0,0,1,1,CMP209738,4398.73
USR1000173,1,1,1,0,0,1,1,CMP128865,1800.52
USR1000174,1,0,1,1,1,1,0,,
USR1000175,0,0,1,0,0,0,0,,
USR1000176,1,1,0,0,0,1,0,,
USR1000177,1,0,1,1,0,1,0,,
USR1000178,1,0,0,1,0,0,0,,
USR1000179,1,1,0,1,0,0,0,,
USR1000180,1,1,0,0,0,1,0,,
USR1000181,1,1,0,0,0,1,0,,
USR1000182,1,1,1,1,0,0,0,,
USR1000183,0,1,1,1,1,0,0,,
USR1000184,1,1,1,0,0,0,0,,
USR1000185,1,1,0,1,0,1,0,,
USR1000186,1,0,0,1,0,0,0,,
USR1000187,0,1,0,1,1,0,0,,
USR1000188,1,1,1,1,1,0,0,,
USR1000189,1,1,1,0,0,1,1,CMP214565,472.47
USR1000190,1,0,1,0,0,1,0,,
USR1000191,1,0,1,1,1,0,0,,
USR1000192,1,0,0,0,0,0,0,,
USR1000193,0,1,1,0,1,1,0,,
USR1000194,1,1,1,0,0,1,1,CMP117449,3353.36
USR1000195,1,1,1,0,0,1,0,,
USR1000196,1,1,0,0,1,0,0,,
USR1000197,1,0,1,1,0,1,0,,
USR1000198,0,1,0,1,0,0,0,,
USR1000199,1,1,0,1,0,0,0,,
USR1000200,0,0,1,1,1,1,0,,
USR1000201,1,1,1,1,0,1,0,,
USR1000202,1,1,1,0,0,1,1,CMP137675,3453.96
USR1000203,1,1,0,0,0,1,0,,
USR1000204,1,0,1,0,1,0,0,,
USR1000205,1,0,1,0,1,0,0,,
USR1000206,1,1,0,1,1,1,0,,
USR1000207,1,1,1,0,0,1,1,CMP140870,3002.12
USR1000208,1,0,1,1,0,1,0,,
USR1000209,1,0,0,1,0,0,0,,
USR1000210,1,1,0,0,0,1,0,,
USR1000211,0,0,0,1,0,0,0,,
USR1000212,1,0,1,0,1,1,0,,
,1,0,0,1,1,0,0,,
USR1000214,0,0,1,1,0,0,0,,
USR1000215,1,0,1,0,0,1,0,,
USR1000216,1,0,1,0,0,1,0,,
USR1000217,1,1,1,1,0,1,1,CMP208247,1161.61
USR1000218,1,1,0,0,0,0,0,,
USR1000219,0,1,0,1,1,1,0,,
USR1000220,1,0,1,1,0,1,0,,
USR1000221,0,1,1,0,1,0,0,,
USR1000222,1,1,1,0,0,1,1,CMP163184,2171.96
USR1000223,1,1,1,1,1,0,0,,
USR1000224,1,1,0,0,0,1,0,,
USR1000225,1,0,0,0,0,0,0,,
USR1000226,1,1,1,0,0,1,0,,
USR1000227,1,1,1,1,0,1,0,,
USR1000228,1,0,1,1,0,0,0,,
USR1000229,1,1,0,0,0,1,0,,
USR1000230,1,0,0,1,0,0,0,,
USR1000231,1,0,1,0,0,0,0,,
USR1000232,1,1,0,1,0,0,0,,
USR1000233,1,1,1,1,0,0,0,,
USR1000234,1,0,0,1,0,0,0,,
USR1000235,1,1,0,0,0,1,0,,
USR1000236,1,1,1,0,0,0,0,,
USR1000237,1,1,0,1,0,0,0,,
USR1000238,1,0,0,0,0,0,0,,
USR1000239,1,1,1,1,0,1,0,,
USR1000240,1,1,1,0,0,0,0,,
USR1000241,1,0,1,0,0,0,0,,
USR1000242,1,1,1,0,0,0,0,,
USR1000243,1,1,0,1,1,0,0,,
USR1000244,1,0,0,1,0,0,0,,
USR1000245,1,1,1,1,0,1,0,,
USR1000246,1,1,1,1,0,1,0,,
USR1000247,1,0,0,1,0,0,0,,
USR1000248,1,0,0,0,0,0,0,,
USR1000249,0,0,0,0,0,0,0,,
USR1000250,1,1,0,0,0,1,0,,
USR1000251,1,1,0,1,0,0,0,,
USR1000252,1,0,0,1,0,0,0,,
USR1000253,1,0,0,1,1,0,0,,
USR1000254,1,0,0,0,0,0,0,,
USR1000255,1,0,0,1,0,0,0,,
USR1000256,1,0,0,0,0,0,0,,
USR1000257,1,1,1,1,0,0,0,,
USR1000258,1,1,1,1,0,1,0,,
USR1000259,1,1,0,1,1,1,0,,
USR1000260,1,1,0,1,0,1,0,,
USR1000261,1,0,1,0,0,0,0,,
USR1000262,1,1,0,0,0,0,0,,
USR1000263,1,1,1,0,0,1,1,CMP151000,2408.78
USR1000264,1,1,0,1,1,1,0,,
USR1000265,1,1,1,0,0,1,1,CMP109370,1482.92
USR1000266,1,0,1,0,0,0,0,,
USR1000267,1,1,1,0,0,1,0,,
USR1000268,0,1,0,1,0,1,0,,
USR1000269,1,0,0,0,0,0,0,,
USR1000270,0,1,1,1,0,0,0,,
USR1000271,1,0,1,1,1,1,0,,
USR1000272,1,0,1,1,0,1,0,,
USR1000273,1,1,0,1,1,0,0,,
USR1000274,1,1,0,0,0,0,0,,
USR1000275,1,0,1,1,0,1,0,,
USR1000276,0,1,1,0,0,1,0,,
USR1000277,1,1,0,0,0,0,0,,
USR1000278,0,1,1,1,0,0,0,,
USR1000279,1,1,1,0,0,1,1,CMP106288,4285.43
USR1000280,1,0,0,1,0,0,0,,
USR1000281,1,0,0,1,0,0,0,,
USR1000282,0,1,0,0,1,1,0,,
USR1000283,1,1,1,1,1,1,0,,
USR1000284,1,1,1,0,0,1,1,CMP137821,4162.12
USR1000285,1,0,1,0,0,1,0,,
USR1000286,1,1,1,0,0,1,1,CMP123420,774.06
USR1000287,0,1,1,1,1,1,0,,
USR1000288,1,0,0,1,1,0,0,,
USR1000289,1,1,0,0,0,1,0,,
USR1000290,1,1,1,1,0,1,0,,
USR1000291,1,1,1,0,0,1,0,,
USR1000292,1,0,1,1,0,1,0,,
USR1000293,1,1,1,0,0,0,0,,
USR1000294,1,1,1,0,0,0,0,,
USR1000295,1,0,1,0,0,0,0,,
USR1000296,1,0,1,1,0,0,0,,
USR1000297,1,0,0,1,0,0,0,,
USR1000298,1,0,0,1,0,0,0,,
USR1000299,1,0,0,0,0,0,0,,
,1,1,0,0,0,0,0,,
USR1000301,1,0,0,1,1,1,0,,
USR1000302,1,0,0,0,0,0,0,,
USR1000303,1,0,0,0,0,0,0,,
USR1000304,0,0,0,1,0,0,0,,
USR1000305,1,0,1,1,0,0,0,,
USR1000306,1,0,0,0,0,0,0,,
USR1000307,1,1,1,0,0,0,0,,
USR1000308,1,0,0,1,0,0,0,,
USR1000309,1,1,0,1,1,1,0,,
USR1000310,1,0,1,0,0,0,0,,
USR1000311,1,0,0,0,1,0,0,,
USR1000312,0,0,0,0,0,0,0,,
USR1000313,1,0,1,1,0,1,0,,
USR1000314,0,0,1,0,0,1,0,,
USR1000315,1,1,0,1,0,1,0,,
USR1000316,1,1,0,1,0,0,0,,
USR1000317,1,1,1,0,0,1,0,,
USR1000318,1,0,1,1,0,1,1,CMP214014,1893.75
USR1000319,1,0,1,1,0,1,1,CMP202561,2322.3
USR1000320,1,0,0,1,0,0,0,,
USR1000321,1,0,1,1,0,1,0,,
USR1000322,1,1,1,0,0,1,1,CMP107265,2979.16
USR1000323,1,0,1,1,1,1,0,,
USR1000324,1,0,1,0,0,1,0,,
USR1000325,1,1,0,0,0,0,0,,
USR1000326,1,1,0,1,1,0,0,,
USR1000327,1,1,1,0,0,0,0,,
USR1000328,1,1,1,0,0,1,0,,
USR1000329,1,0,1,0,0,1,0,,
USR1000330,1,1,1,0,0,1,0,,
USR1000331,1,0,1,0,0,0,0,,
USR1000332,1,1,0,0,0,0,0,,
USR1000333,1,0,0,0,0,0,0,,
USR1000334,1,0,1,1,1,1,0,,
USR1000335,1,1,0,1,0,1,0,,
USR1000336,0,0,1,1,1,0,0,,
USR1000337,1,0,0,0,0,0,0,,
USR1000338,1,0,1,1,0,1,0,,
USR1000339,1,1,1,0,1,1,0,,
USR1000340,1,1,1,0,0,1,1,CMP126425,4188.98
USR1000341,1,1,1,1,0,1,0,,
USR1000342,1,1,1,0,0,1,1,CMP153750,1053.16
USR1000343,1,0,0,0,1,1,0,,
USR1000344,1,1,0,0,0,1,0,,
USR1000345,1,1,1,1,0,0,0,,
USR1000346,1,0,0,1,1,0,0,,
USR1000347,1,1,1,0,0,1,1,CMP100435,1098.94
USR1000348,0,1,1,1,1,1,0,,
USR1000349,1,0,1,1,0,0,0,,
USR1000350,1,1,0,0,0,0,0,,
USR1000351,1,0,1,1,0,0,0,,
USR1000352,1,1,1,1,0,0,0,,
USR1000353,1,0,0,0,0,0,0,,
USR1000354,1,1,0,0,0,1,0,,
,1,1,0,1,0,1,0,,
USR1000356,1,0,1,1,0,0,0,,
USR1000357,1,1,1,0,0,1,0,,
USR1000358,1,1,1,0,0,1,0,,
USR1000359,1,0,0,0,0,0,0,,
USR1000360,1,0,0,0,0,0,0,,
USR1000361,1,0,0,0,0,0,0,,
USR1000362,1,0,1,0,0,0,0,,
USR1000363,1,1,0,0,0,1,0,,
USR1000364,1,0,0,1,0,0,0,,
USR1000365,1,0,0,1,0,0,0,,
USR1000366,1,0,1,1,0,1,0,,
USR1000367,1,0,1,1,0,1,1,CMP206189,1934.73
USR1000368,1,1,1,1,0,1,1,CMP206761,1626.86
USR1000369,1,0,0,0,0,0,0,,
USR1000370,1,1,0,1,0,0,0,,
USR1000371,1,0,1,0,0,1,0,,
USR1000372,1,1,0,1,0,0,0,,
USR1000373,1,0,1,0,0,1,0,,
USR1000374,1,1,1,1,0,0,0,,
USR1000375,1,1,1,0,0,0,0,,
USR1000376,1,1,1,1,0,1,0,,
USR1000377,1,1,1,0,0,1,1,CMP109965,1733.75
USR1000378,1,0,1,1,0,0,0,,
USR1000379,1,1,1,1,1,1,0,,
USR1000380,1,0,0,0,0,0,0,,
USR1000381,1,0,0,0,0,0,0,,
USR1000382,1,1,0,0,0,1,0,,
USR1000383,1,0,0,0,0,0,0,,
USR1000384,1,0,0,0,0,0,0,,
USR1000385,1,1,0,1,0,0,0,,
USR1000386,1,0,0,1,0,0,0,,
USR1000387,1,0,1,1,0,0,0,,
USR1000388,1,0,1,0,0,1,0,,
USR1000389,1,1,0,1,0,0,0,,
USR1000390,0,0,0,1,0,0,0,,
USR1000391,1,1,1,0,0,1,1,CMP136364,3798.44
USR1000392,1,1,0,1,0,1,0,,
USR1000393,1,1,1,1,1,1,0,,
USR1000394,1,0,1,1,0,1,0,,
USR1000395,0,0,1,1,1,0,0,,
USR1000396,1,0,0,1,0,0,0,,
USR1000397,0,0,1,1,1,1,0,,
USR1000398,1,1,0,0,0,1,0,,
USR1000399,1,0,1,0,1,0,0,,
USR1000400,1,0,1,0,0,1,0,,
USR1000401,1,1,1,0,0,1,1,CMP109321,4063.67
USR1000402,1,0,1,0,0,0,0,,
USR1000403,1,1,1,1,0,0,0,,
USR1000404,1,1,1,0,1,1,0,,
USR1000405,1,1,0,1,1,0,0,,
USR1000406,1,1,1,0,0,1,0,,
USR1000407,1,0,1,1,0,1,0,,
USR1000408,1,1,1,0,0,0,0,,
USR1000409,1,1,0,1,1,1,0,,
USR1000410,1,0,0,1,1,0,0,,
USR1000411,1,1,1,0,0,1,0,,
USR1000412,1,0,1,0,1,1,0,,
USR1000413,0,0,0,1,1,1,0,,
USR1000414,1,0,1,1,0,1,0,,
USR1000415,0,0,0,0,0,0,0,,
USR1000416,1,1,1,0,0,1,1,CMP120991,3919.25
USR1000417,1,0,0,0,0,0,0,,
USR1000418,1,0,0,0,1,0,0,,
USR1000419,1,1,1,1,0,0,0,,
USR1000420,1,1,0,1,0,0,0,,
USR1000421,1,1,0,0,0,0,0,,
USR1000422,1,1,0,0,0,1,0,,
USR1000423,1,1,1,1,0,1,0,,
USR1000424,1,1,0,1,0,1,0,,
USR1000425,1,0,0,0,0,0,0,,
USR1000426,1,1,0,0,1,0,0,,
USR1000427,1,0,0,0,0,0,0,,
USR1000428,1,1,0,1,1,0,0,,
USR1000429,1,1,1,0,1,0,0,,
USR1000430,1,1,1,0,0,1,0,,
USR1000431,1,1,1,1,0,1,0,,
USR1000432,1,0,1,1,1,0,0,,
USR1000433,1,1,0,0,0,1,0,,
USR1000434,1,1,0,1,0,0,0,,
USR1000435,1,1,1,0,0,1,0,,
USR1000436,1,1,1,0,0,0,0,,
USR1000437,1,0,0,1,1,1,0,,
USR1000438,1,1,1,1,0,1,1,CMP201658,2655.16
USR1000439,1,1,1,1,0,1,0,,
USR1000440,1,0,1,1,0,1,0,,
USR1000441,1,1,1,0,0,0,0,,
USR1000442,1,0,0,0,0,0,0,,
USR1000443,0,1,1,1,1,0,0,,
USR1000444,1,1,1,0,0,1,0,,
USR1000445,1,0,1,1,0,1,0,,
USR1000446,1,0,0,1,0,0,0,,
USR1000447,0,1,1,1,0,0,0,,
USR1000448,1,1,1,1,0,0,0,,
USR1000449,1,1,0,1,0,1,0,,
USR1000450,1,1,1,0,0,1,0,,
USR1000451,1,0,0,0,0,0,0,,
USR1000452,1,0,1,1,0,1,0,,
USR1000453,1,1,1,1,1,1,0,,
USR1000454,1,0,1,1,0,0,0,,
USR1000455,1,0,0,1,1,1,0,,
USR1000456,1,1,1,0,0,1,0,,
USR1000457,1,1,1,0,0,1,1,CMP157177,4654.82
USR1000458,1,1,1,0,0,1,0,,
USR1000459,1,0,0,1,0,0,0,,
USR1000460,1,1,0,0,0,1,0,,
USR1000461,1,1,0,1,0,0,0,,
USR1000462,1,1,1,0,1,0,0,,
USR1000463,1,1,1,0,0,1,1,CMP105670,3400.67
USR1000464,1,1,1,1,1,1,0,,
USR1000465,1,1,0,1,0,0,0,,
USR1000466,1,0,0,1,0,0,0,,
USR1000467,1,0,0,0,0,0,0,,
USR1000468,1,0,1,0,1,1,0,,
USR1000469,1,1,0,1,1,0,0,,
USR1000470,1,1,1,0,0,1,1,CMP133640,406.08
USR1000471,1,0,0,1,1,0,0,,
USR1000472,1,1,0,1,0,1,0,,
USR1000473,1,1,0,0,0,1,0,,
USR1000474,1,0,1,0,1,1,0,,
USR1000475,1,1,0,1,1,1,0,,
USR1000476,1,0,0,1,0,0,0,,
USR1000477,0,1,1,0,1,0,0,,
USR1000478,1,0,1,0,0,1,0,,
USR1000479,1,1,0,1,1,0,0,,
USR1000480,1,1,1,1,0,1,0,,
USR1000481,1,0,1,1,0,0,0,,
USR1000482,1,0,0,0,0,0,0,,
USR1000483,1,1,0,1,0,0,0,,
USR1000484,1,0,0,0,0,0,0,,
USR1000485,1,1,1,0,0,1,1,CMP147400,3765.05
USR1000486,1,0,1,1,1,1,0,,
USR1000487,0,1,0,0,1,0,0,,
USR1000488,1,1,1,0,0,0,0,,
USR1000489,1,1,0,0,0,0,0,,
USR1000490,1,0,1,0,0,1,0,,
USR1000491,1,0,0,0,0,0,0,,
USR1000492,1,1,0,0,1,0,0,,
USR1000493,1,1,1,0,0,1,1,CMP155251,1143.24
USR1000494,0,1,0,1,1,1,0,,
USR1000495,0,0,1,0,1,1,0,,
USR1000496,1,0,1,1,0,0,0,,
USR1000497,1,1,0,1,0,1,0,,
USR1000498,1,0,0,0,0,0,0,,
USR1000499,1,0,1,1,0,0,0,,
USR1000500,1,0,1,1,0,0,0,,
USR1000501,1,1,1,0,0,1,1,CMP108343,1761.98
USR1000502,1,1,1,0,0,1,1,CMP132694,1076.4
USR1000503,1,1,0,1,0,1,0,,
USR1000504,1,0,0,1,0,0,0,,
USR1000505,1,0,1,1,0,0,0,,
USR1000506,1,0,1,0,1,1,0,,
USR1000507,1,0,0,1,0,0,0,,
USR1000508,1,0,0,0,0,0,0,,
USR1000509,1,1,0,0,0,0,0,,
USR1000510,1,0,1,1,0,0,0,,
USR1000511,1,0,1,0,1,0,0,,
USR1000512,1,1,0,0,0,1,0,,
USR1000513,1,1,1,1,0,1,0,,
USR1000514,1,1,0,1,0,1,0,,
USR1000515,1,0,0,0,1,1,0,,
USR1000516,1,1,0,1,0,0,0,,
USR1000517,1,1,1,0,0,1,0,,
USR1000518,1,1,1,1,0,1,0,,
USR1000519,1,1,0,0,1,1,0,,
USR1000520,1,1,0,1,0,1,0,,
USR1000521,1,1,1,1,1,1,0,,
USR1000522,1,1,0,0,0,0,0,,
USR1000523,1,1,1,0,1,1,0,,
USR1000524,1,0,1,1,1,1,0,,
USR1000525,1,1,1,0,0,1,1,CMP101348,207.31
USR1000526,1,1,1,0,0,1,0,,
USR1000527,1,1,0,0,0,1,0,,
USR1000528,1,0,0,0,0,0,0,,
USR1000529,1,0,0,1,0,0,0,,
USR1000530,0,1,1,1,0,1,1,CMP205249,2760.57
USR1000531,1,1,0,1,0,0,0,,
USR1000532,1,0,0,0,0,0,0,,
USR1000533,1,0,0,0,0,0,0,,
USR1000534,1,0,0,1,1,1,0,,
USR1000535,1,1,1,1,0,1,0,,
USR1000536,1,1,1,1,1,1,0,,
USR1000537,1,1,0,1,1,0,0,,
USR1000538,1,1,1,0,0,0,0,,
USR1000539,1,1,0,0,0,0,0,,
USR1000540,1,0,1,1,0,1,1,CMP214198,4912.81
USR1000541,1,0,0,1,0,0,0,,
USR1000542,1,1,0,1,0,0,0,,
USR1000543,1,1,0,1,0,0,0,,
USR1000544,1,0,1,1,0,1,0,,
USR1000545,1,1,0,0,1,0,0,,
USR1000546,1,1,1,0,0,1,0,,
USR1000547,1,0,1,1,0,0,0,,
USR1000548,1,0,0,0,0,0,0,,
USR1000549,1,1,0,0,0,0,0,,
USR1000550,0,0,1,1,0,0,0,,
USR1000551,1,1,0,0,0,1,0,,
USR1000552,1,0,0,0,0,0,0,,
USR1000553,1,0,0,0,0,0,0,,
USR1000554,1,0,1,1,0,1,0,,
USR1000555,1,0,1,0,0,0,0,,
USR1000556,1,1,1,1,0,0,0,,
USR1000557,1,0,0,0,0,0,0,,
USR1000558,1,0,0,1,0,0,0,,
USR1000559,1,0,1,1,0,1,0,,
USR1000560,1,1,1,0,0,1,1,CMP141585,3911.41
USR1000561,1,1,0,1,1,1,0,,
USR1000562,1,1,0,1,0,0,0,,
USR1000563,1,1,0,0,0,0,0,,
USR1000564,1,1,0,0,0,0,0,,
USR1000565,1,1,0,1,0,1,0,,
USR1000566,1,0,0,1,0,0,0,,
USR1000567,1,0,0,1,1,0,0,,
USR1000568,0,1,1,0,0,1,0,,
USR1000569,1,0,1,0,0,1,0,,
,1,0,0,0,0,0,0,,
USR1000571,0,1,1,0,1,0,0,,
USR1000572,1,1,1,0,0,0,0,,
USR1000573,1,1,0,0,0,0,0,,
USR1000574,1,1,1,1,1,1,0,,
USR1000575,1,1,1,0,0,1,1,CMP131598,2404.5
USR1000576,1,1,0,0,1,0,0,,
USR1000577,1,1,0,0,0,0,0,,
USR1000578,1,1,1,1,0,0,0,,
USR1000579,1,1,1,0,0,1,0,,
USR1000580,1,1,0,0,1,0,0,,
USR1000581,0,1,1,1,0,0,0,,
USR1000582,1,1,1,0,0,0,0,,
USR1000583,1,1,0,1,0,1,0,,
USR1000584,1,0,0,1,0,0,0,,
USR1000585,1,0,1,0,1,0,0,,
USR1000586,1,0,0,1,1,1,0,,
USR1000587,1,1,1,1,0,1,0,,
USR1000588,1,1,0,1,0,1,0,,
USR1000589,1,0,1,0,0,0,0,,
USR1000590,1,1,1,0,0,1,1,CMP108570,4168.62
USR1000591,1,0,0,0,1,0,0,,
USR1000592,1,0,1,1,1,1,0,,
USR1000593,0,1,1,1,0,1,0,,
USR1000594,1,0,0,0,0,0,0,,
USR1000595,1,1,0,1,0,1,0,,
USR1000596,1,0,0,0,1,0,0,,
USR1000597,1,1,1,0,0,1,1,CMP161068,2348.97
USR1000598,1,1,0,0,1,0,0,,
USR1000599,1,0,1,1,0,1,0,,
USR1000600,1,0,1,1,0,1,1,CMP214001,2469.2
USR1000601,1,0,1,0,0,1,0,,
USR1000602,1,0,1,1,0,0,0,,
USR1000603,1,1,0,0,0,1,0,,
,1,0,1,0,0,1,0,,
USR1000605,1,0,1,1,0,1,0,,
USR1000606,1,0,0,0,0,0,0,,
USR1000607,1,0,1,0,1,1,0,,
USR1000608,1,0,1,1,0,1,0,,
USR1000609,1,0,1,0,0,0,0,,
